StnName,ID_GIS_gag,Dams/Hps,Evidence of reg,station_el,longitude,latitude,Z,xcoord,ycoord,Qmean,Pmean,Gewaesser,Station,Area,Mean_altitude
BAFU-2436,84,No,0,453,8.276627018,46.94415364,454.728096,2663800.168,1199569.87,1004.98,1482.88,Chli Schliere,"Alpnach, Chilch Erli",21.48486,1345.693964
BAFU-2437,85,No,0,580,6.81291756,46.60438669,587.2364349,2552059.298,1161650.353,737.62,974.46,Parimbot,"Ecublens, Eschiens",6.92962,720.2853233
BAFU-2450,86,No,0,426,7.935364709,47.28354767,429.6469955,2637580.254,1237080.247,488.41,1150.24,Wigger,Zofingen,363.343396,657.5549012
BAFU-2461,88,No,0,295,8.878983471,45.98195038,295.9437103,2711619.771,1093288.969,1108.17,1545.06,Magliasina,"Magliaso, Ponte",34.314564,916.6343287
BAFU-2471,91,No,0,419,7.826219193,47.25225979,419.3892517,2629340.185,1233555.278,561.77,1186.01,Murg,"Murgenthal, Walliswil",192.521396,650.5998626
BAFU-2485,98,No,0,366,7.011659739,47.50076824,368.8019257,2567830.008,1261200.82,484.44,1056.69,Allaine,"Boncourt, Frontière",205.819764,559.656929
BAFU-2493,104,No,0,394,6.269255296,46.4060367,391.3338699,2510078.927,1140080.493,392.43,971.79,Promenthouse,"Gland, Route Suisse",131.459512,1041.685023
BAFU-2500,109,No,0,522,7.478120221,46.97316178,520.5742188,2603004.841,1202455.266,529.32,1094.9,Worble,Ittigen,59.583832,691.4445354
BAFU-2603,110,No,0,685,7.797424223,46.93793102,683.6616974,2627319.955,1198600.093,874.35,1506.19,Ilfis,Langnau,187.512552,1038.085737
BAFU-2604,111,No,0,825,8.720879331,47.15334247,826.4141388,2697240.506,1223279.794,1079.04,1402.11,Biber,Biberbrugg,31.947172,999.904434
BAFU-2605,112,No,0,490,8.844553249,46.24896847,491.3989868,2708419.939,1122919.156,1806.06,1887.75,Verzasca,"Lavertezzo, Campiòi",185.103044,1656.376166
BAFU-2608,114,No,0,515,8.209828553,47.11301906,517.9920349,2658530.255,1218290.009,631.31,1136.68,Sellenbodenbach,Neuenkirch,10.540688,611.0931491
BAFU-2610,116,No,0,463,7.431810868,47.34820708,464.4858856,2599485.082,1244150.525,661,1115.85,Scheulte,Vicques,72.629964,789.6160495
AGFG-0353,123,No,0,460,8.311001944,47.29923549,461.2634583,2665978.428,1239072.08,338.12,1092.09,Wissenbach,Boswil,11.3264,687.8332831
AGFG-0364,124,No,0,415,8.394714451,47.19141966,410.4234161,2672455.39,1227159.972,413.87,1087.21,Sinserbach,Sins,17.979572,577.2111355
AGFG-0368,125,No,0,381,8.325368773,47.38558554,380.5081406,2666956.494,1248684.128,325.2,1066.36,Küntenerbach,Künten,4.759708,587.0033837
AGFG-0358,127,No,0,335,8.267027067,47.564371,334.6973267,2662341.592,1268513.27,379.71,989.04,Surb,Döttingen,65.802512,507.9420553
AGFG-0376,128,No,0,390,8.36147349,47.55841369,387.9914169,2669456.629,1267930.222,295.96,984.15,Tägerbach,Wislikofen,13.863804,548.6622851
AGFG-0338,129,No,0,477,8.058539295,47.25101949,476.7227173,2646927.285,1233530.168,514.22,1067.2,Suhre,Reitnau,135.618436,588.0217343
AGFG-0335,130,No,0,410,8.048946861,47.36303746,410.4457397,2646104.358,1245978.244,422.11,1062.52,Suhre,Unterentfelden,190.205192,580.6101663
AGFG-0360,135,No,0,308,8.1104073,47.56960281,311.1644363,2650550.528,1268982.347,445.62,1021.62,Etzgerbach,Etzgen,25.21234,476.9869778
AGFG-0361,136,No,0,352,8.097846921,47.54164934,352.3307648,2649631.503,1265866.335,377.5,1043.16,Sulzerbach,Sulz,8.31108,496.7401633
AGFG-0362,137,No,0,321,8.040710816,47.54337239,320.5166931,2645328.479,1266023.363,263.15,1023.7,Kaisterbach,Kaisten,11.870916,463.7441333
AGFG-0374,138,No,0,300,7.798170809,47.5444865,299.441391,2627068.376,1266035.477,344.86,1027.35,Magdenerbach,Rheinfelden,33.055,483.4745827
AGFG-0351,141,No,0,392,8.336539639,47.26099899,525.5244751,2667958.413,1234843.044,447.07,1056.46,Wissenbach,Merenschwand,10.033304,556.0712559
AGFG-0370,142,No,0,379,8.407922224,47.56036401,377.5427246,2672949.65,1268189.202,310.76,996.49,Fisibach,Fisibach,15.010648,516.2083331
AGFG-0352,143,No,0,460,8.336821778,47.27777278,457.8921433,2667958.424,1236708.054,616.79,1093.43,Katzbach,Muri,4.924728,636.2632814
AGFG-0379,144,No,0,455,8.18521022,47.2469132,536.1729126,2656520.337,1233157.106,516.34,1051.69,Wyna,Reinach,40.280224,691.3637777
AGFG-0334,146,No,0,536,8.111314534,47.3149739,456.6157532,2650861.352,1240673.184,458.38,1052.9,Wyna,Unterkulm,92.638324,644.4942319
AGFG-0349,147,No,0,463,8.057678882,47.30331114,462.4592743,2646816.321,1239343.202,407.12,1060.56,Ruederchen,Schöftland,17.819556,618.7215471
AGFG-0340,148,No,0,417,7.907701856,47.28991482,415.1941223,2635483.246,1237775.264,455.67,1092.6,Pfaffnern,Vordemwald,39.043552,517.6659436
AGFG-0369,149,No,0,385,8.191820512,47.51336516,384.019577,2656736.524,1262785.273,325.12,1040.5,Schmittenbach,Remigen,13.798292,520.0446698
AGFG-0331,150,No,0,314,8.252032344,47.49551766,332.1224976,2661292.538,1260846.233,387.98,1033.5,Sissle,Eiken,123,537.9205605
AGFG-0344,151,No,0,356,8.007758312,47.50272365,354.7169952,2642880.437,1261485.352,390.65,1048.75,Bruggbach,"Gipf, Oberfrick",43.80286,579.3834807
AGFG-0372,152,No,0,338,7.871738954,47.54194153,336.6219711,2632608.405,1265780.441,336.52,1043.82,Möhlinbach,Zeiningen,26.621524,512.1558909
AGFG-0333,153,No,0,402,8.061977945,47.36796886,402.3022461,2647084.367,1246534.241,432.94,1055.79,Suhre,Suhr,240.853748,568.0139018
AGFG-0348,154,No,0,394,8.087557314,47.37673263,393.6295242,2649008.384,1247524.234,389.29,1049.64,Wyna,Suhr,119.877676,616.108137
AGFG-0380,158,No,0,415,8.329235186,47.52099741,413.2687225,2667077.589,1263742.213,498.19,1004.11,Lengnau,Surb,28.714628,538.3418549
